"concurso","data","ordem","bola"
1,1996-03-11,1,41
1,1996-03-11,2,5
1,1996-03-11,3,4
1,1996-03-11,4,52
1,1996-03-11,5,30
1,1996-03-11,6,33
2,1996-03-18,1,9
2,1996-03-18,2,39
2,1996-03-18,3,37
2,1996-03-18,4,49
2,1996-03-18,5,43
2,1996-03-18,6,41
3,1996-03-25,1,36
3,1996-03-25,2,30
3,1996-03-25,3,10
3,1996-03-25,4,11
3,1996-03-25,5,29
3,1996-03-25,6,47
4,1996-04-01,1,6
4,1996-04-01,2,59
4,1996-04-01,3,42
4,1996-04-01,4,27
4,1996-04-01,5,1
4,1996-04-01,6,5
5,1996-04-08,1,1
5,1996-04-08,2,19
5,1996-04-08,3,46
5,1996-04-08,4,6
5,1996-04-08,5,16
5,1996-04-08,6,2
6,1996-04-15,1,19
6,1996-04-15,2,40
6,1996-04-15,3,7
6,1996-04-15,4,13
6,1996-04-15,5,22
6,1996-04-15,6,47
7,1996-04-22,1,56
7,1996-04-22,2,38
7,1996-04-22,3,21
7,1996-04-22,4,20
7,1996-04-22,5,3
7,1996-04-22,6,5
8,1996-04-29,1,53
8,1996-04-29,2,17
8,1996-04-29,3,38
8,1996-04-29,4,4
8,1996-04-29,5,47
8,1996-04-29,6,37
9,1996-05-06,1,55
9,1996-05-06,2,43
9,1996-05-06,3,56
9,1996-05-06,4,54
9,1996-05-06,5,8
9,1996-05-06,6,60
10,1996-05-13,1,25
10,1996-05-13,2,4
10,1996-05-13,3,18
10,1996-05-13,4,57
10,1996-05-13,5,21
10,1996-05-13,6,38
11,1996-05-20,1,25
11,1996-05-20,2,15
11,1996-05-20,3,58
11,1996-05-20,4,37
11,1996-05-20,5,59
11,1996-05-20,6,38
12,1996-05-27,1,20
12,1996-05-27,2,27
12,1996-05-27,3,43
12,1996-05-27,4,16
12,1996-05-27,5,19
12,1996-05-27,6,4
13,1996-06-03,1,47
13,1996-06-03,2,32
13,1996-06-03,3,50
13,1996-06-03,4,54
13,1996-06-03,5,18
13,1996-06-03,6,56
14,1996-06-10,1,16
14,1996-06-10,2,2
14,1996-06-10,3,27
14,1996-06-10,4,47
14,1996-06-10,5,23
14,1996-06-10,6,53
15,1996-06-17,1,60
15,1996-06-17,2,12
15,1996-06-17,3,33
15,1996-06-17,4,52
15,1996-06-17,5,35
15,1996-06-17,6,51
16,1996-06-24,1,60
16,1996-06-24,2,58
16,1996-06-24,3,49
16,1996-06-24,4,32
16,1996-06-24,5,20
16,1996-06-24,6,34
17,1996-07-01,1,10
17,1996-07-01,2,20
17,1996-07-01,3,6
17,1996-07-01,4,19
17,1996-07-01,5,51
17,1996-07-01,6,13
18,1996-07-08,1,37
18,1996-07-08,2,36
18,1996-07-08,3,56
18,1996-07-08,4,27
18,1996-07-08,5,42
18,1996-07-08,6,23
19,1996-07-15,1,5
19,1996-07-15,2,25
19,1996-07-15,3,12
19,1996-07-15,4,10
19,1996-07-15,5,60
19,1996-07-15,6,24
20,1996-07-22,1,25
20,1996-07-22,2,28
20,1996-07-22,3,30
20,1996-07-22,4,33
20,1996-07-22,5,51
20,1996-07-22,6,11
21,1996-07-29,1,49
21,1996-07-29,2,46
21,1996-07-29,3,6
21,1996-07-29,4,53
21,1996-07-29,5,33
21,1996-07-29,6,36
22,1996-08-05,1,9
22,1996-08-05,2,38
22,1996-08-05,3,56
22,1996-08-05,4,1
22,1996-08-05,5,31
22,1996-08-05,6,46
23,1996-08-12,1,17
23,1996-08-12,2,52
23,1996-08-12,3,51
23,1996-08-12,4,59
23,1996-08-12,5,39
23,1996-08-12,6,37
24,1996-08-19,1,1
24,1996-08-19,2,8
24,1996-08-19,3,14
24,1996-08-19,4,28
24,1996-08-19,5,33
24,1996-08-19,6,43
25,1996-08-25,1,56
25,1996-08-25,2,50
25,1996-08-25,3,55
25,1996-08-25,4,54
25,1996-08-25,5,24
25,1996-08-25,6,43
26,1996-09-01,1,50
26,1996-09-01,2,53
26,1996-09-01,3,57
26,1996-09-01,4,10
26,1996-09-01,5,58
26,1996-09-01,6,22
27,1996-09-08,1,44
27,1996-09-08,2,33
27,1996-09-08,3,13
27,1996-09-08,4,51
27,1996-09-08,5,17
27,1996-09-08,6,20
28,1996-09-15,1,60
28,1996-09-15,2,6
28,1996-09-15,3,22
28,1996-09-15,4,3
28,1996-09-15,5,24
28,1996-09-15,6,54
29,1996-09-22,1,14
29,1996-09-22,2,56
29,1996-09-22,3,58
29,1996-09-22,4,8
29,1996-09-22,5,43
29,1996-09-22,6,3
30,1996-09-29,1,38
30,1996-09-29,2,50
30,1996-09-29,3,7
30,1996-09-29,4,29
30,1996-09-29,5,15
30,1996-09-29,6,14
31,1996-10-06,1,56
31,1996-10-06,2,19
31,1996-10-06,3,28
31,1996-10-06,4,48
31,1996-10-06,5,17
31,1996-10-06,6,45
32,1996-10-13,1,43
32,1996-10-13,2,33
32,1996-10-13,3,14
32,1996-10-13,4,36
32,1996-10-13,5,5
32,1996-10-13,6,44
33,1996-10-20,1,5
33,1996-10-20,2,33
33,1996-10-20,3,49
33,1996-10-20,4,17
33,1996-10-20,5,42
33,1996-10-20,6,39
34,1996-10-27,1,15
34,1996-10-27,2,13
34,1996-10-27,3,57
34,1996-10-27,4,53
34,1996-10-27,5,40
34,1996-10-27,6,17
35,1996-11-03,1,21
35,1996-11-03,2,57
35,1996-11-03,3,16
35,1996-11-03,4,23
35,1996-11-03,5,54
35,1996-11-03,6,4
36,1996-11-10,1,13
36,1996-11-10,2,3
36,1996-11-10,3,51
36,1996-11-10,4,17
36,1996-11-10,5,29
36,1996-11-10,6,25
37,1996-11-17,1,22
37,1996-11-17,2,6
37,1996-11-17,3,7
37,1996-11-17,4,52
37,1996-11-17,5,38
37,1996-11-17,6,60
38,1996-11-24,1,55
38,1996-11-24,2,42
38,1996-11-24,3,10
38,1996-11-24,4,43
38,1996-11-24,5,45
38,1996-11-24,6,54
39,1996-12-01,1,16
39,1996-12-01,2,37
39,1996-12-01,3,45
39,1996-12-01,4,52
39,1996-12-01,5,56
39,1996-12-01,6,12
40,1996-12-08,1,3
40,1996-12-08,2,12
40,1996-12-08,3,46
40,1996-12-08,4,5
40,1996-12-08,5,47
40,1996-12-08,6,8
41,1996-12-15,1,38
41,1996-12-15,2,26
41,1996-12-15,3,35
41,1996-12-15,4,39
41,1996-12-15,5,12
41,1996-12-15,6,47
42,1996-12-22,1,24
42,1996-12-22,2,36
42,1996-12-22,3,19
42,1996-12-22,4,33
42,1996-12-22,5,7
42,1996-12-22,6,11
43,1996-12-29,1,2
43,1996-12-29,2,58
43,1996-12-29,3,25
43,1996-12-29,4,6
43,1996-12-29,5,26
43,1996-12-29,6,17
44,1997-01-05,1,47
44,1997-01-05,2,38
44,1997-01-05,3,18
44,1997-01-05,4,14
44,1997-01-05,5,29
44,1997-01-05,6,44
45,1997-01-12,1,30
45,1997-01-12,2,7
45,1997-01-12,3,37
45,1997-01-12,4,55
45,1997-01-12,5,44
45,1997-01-12,6,53
46,1997-01-19,1,32
46,1997-01-19,2,46
46,1997-01-19,3,1
46,1997-01-19,4,60
46,1997-01-19,5,24
46,1997-01-19,6,23
47,1997-01-26,1,35
47,1997-01-26,2,17
47,1997-01-26,3,3
47,1997-01-26,4,48
47,1997-01-26,5,25
47,1997-01-26,6,56
48,1997-02-02,1,47
48,1997-02-02,2,5
48,1997-02-02,3,34
48,1997-02-02,4,28
48,1997-02-02,5,2
48,1997-02-02,6,50
49,1997-02-09,1,33
49,1997-02-09,2,7
49,1997-02-09,3,43
49,1997-02-09,4,35
49,1997-02-09,5,13
49,1997-02-09,6,55
50,1997-02-16,1,57
50,1997-02-16,2,44
50,1997-02-16,3,21
50,1997-02-16,4,16
50,1997-02-16,5,58
50,1997-02-16,6,6
51,1997-02-23,1,23
51,1997-02-23,2,24
51,1997-02-23,3,42
51,1997-02-23,4,25
51,1997-02-23,5,17
51,1997-02-23,6,47
52,1997-03-02,1,58
52,1997-03-02,2,15
52,1997-03-02,3,59
52,1997-03-02,4,30
52,1997-03-02,5,38
52,1997-03-02,6,46
53,1997-03-09,1,42
53,1997-03-09,2,13
53,1997-03-09,3,3
53,1997-03-09,4,46
53,1997-03-09,5,38
53,1997-03-09,6,16
54,1997-03-16,1,5
54,1997-03-16,2,21
54,1997-03-16,3,9
54,1997-03-16,4,56
54,1997-03-16,5,18
54,1997-03-16,6,36
55,1997-03-23,1,29
55,1997-03-23,2,2
55,1997-03-23,3,14
55,1997-03-23,4,38
55,1997-03-23,5,23
55,1997-03-23,6,52
56,1997-03-30,1,51
56,1997-03-30,2,35
56,1997-03-30,3,59
56,1997-03-30,4,7
56,1997-03-30,5,20
56,1997-03-30,6,2
57,1997-04-06,1,27
57,1997-04-06,2,17
57,1997-04-06,3,16
57,1997-04-06,4,34
57,1997-04-06,5,7
57,1997-04-06,6,59
58,1997-04-13,1,30
58,1997-04-13,2,49
58,1997-04-13,3,27
58,1997-04-13,4,37
58,1997-04-13,5,12
58,1997-04-13,6,44
59,1997-04-20,1,28
59,1997-04-20,2,13
59,1997-04-20,3,34
59,1997-04-20,4,2
59,1997-04-20,5,8
59,1997-04-20,6,54
60,1997-04-27,1,38
60,1997-04-27,2,14
60,1997-04-27,3,21
60,1997-04-27,4,15
60,1997-04-27,5,3
60,1997-04-27,6,20
61,1997-05-04,1,59
61,1997-05-04,2,8
61,1997-05-04,3,18
61,1997-05-04,4,29
61,1997-05-04,5,42
61,1997-05-04,6,44
62,1997-05-11,1,52
62,1997-05-11,2,13
62,1997-05-11,3,6
62,1997-05-11,4,24
62,1997-05-11,5,8
62,1997-05-11,6,31
63,1997-05-18,1,26
63,1997-05-18,2,9
63,1997-05-18,3,41
63,1997-05-18,4,49
63,1997-05-18,5,25
63,1997-05-18,6,40
64,1997-05-25,1,8
64,1997-05-25,2,54
64,1997-05-25,3,50
64,1997-05-25,4,60
64,1997-05-25,5,23
64,1997-05-25,6,12
65,1997-06-01,1,20
65,1997-06-01,2,1
65,1997-06-01,3,5
65,1997-06-01,4,32
65,1997-06-01,5,25
65,1997-06-01,6,34
66,1997-06-08,1,15
66,1997-06-08,2,26
66,1997-06-08,3,12
66,1997-06-08,4,33
66,1997-06-08,5,48
66,1997-06-08,6,13
67,1997-06-15,1,47
67,1997-06-15,2,14
67,1997-06-15,3,27
67,1997-06-15,4,52
67,1997-06-15,5,17
67,1997-06-15,6,12
68,1997-06-22,1,53
68,1997-06-22,2,13
68,1997-06-22,3,3
68,1997-06-22,4,1
68,1997-06-22,5,12
68,1997-06-22,6,59
69,1997-06-29,1,56
69,1997-06-29,2,58
69,1997-06-29,3,34
69,1997-06-29,4,53
69,1997-06-29,5,25
69,1997-06-29,6,45
70,1997-07-06,1,40
70,1997-07-06,2,17
70,1997-07-06,3,23
70,1997-07-06,4,43
70,1997-07-06,5,27
70,1997-07-06,6,58
71,1997-07-13,1,53
71,1997-07-13,2,16
71,1997-07-13,3,45
71,1997-07-13,4,43
71,1997-07-13,5,33
71,1997-07-13,6,27
72,1997-07-20,1,19
72,1997-07-20,2,48
72,1997-07-20,3,43
72,1997-07-20,4,1
72,1997-07-20,5,34
72,1997-07-20,6,44
73,1997-07-27,1,57
73,1997-07-27,2,25
73,1997-07-27,3,45
73,1997-07-27,4,28
73,1997-07-27,5,51
73,1997-07-27,6,26
74,1997-08-03,1,2
74,1997-08-03,2,24
74,1997-08-03,3,34
74,1997-08-03,4,50
74,1997-08-03,5,38
74,1997-08-03,6,37
75,1997-08-10,1,36
75,1997-08-10,2,49
75,1997-08-10,3,37
75,1997-08-10,4,35
75,1997-08-10,5,24
75,1997-08-10,6,21
76,1997-08-17,1,33
76,1997-08-17,2,18
76,1997-08-17,3,23
76,1997-08-17,4,8
76,1997-08-17,5,17
76,1997-08-17,6,53
77,1997-08-24,1,29
77,1997-08-24,2,54
77,1997-08-24,3,40
77,1997-08-24,4,57
77,1997-08-24,5,49
77,1997-08-24,6,21
78,1997-08-31,1,22
78,1997-08-31,2,32
78,1997-08-31,3,46
78,1997-08-31,4,12
78,1997-08-31,5,25
78,1997-08-31,6,31
79,1997-09-07,1,43
79,1997-09-07,2,25
79,1997-09-07,3,2
79,1997-09-07,4,13
79,1997-09-07,5,31
79,1997-09-07,6,17
80,1997-09-14,1,51
80,1997-09-14,2,40
80,1997-09-14,3,37
80,1997-09-14,4,23
80,1997-09-14,5,48
80,1997-09-14,6,28
81,1997-09-21,1,47
81,1997-09-21,2,41
81,1997-09-21,3,10
81,1997-09-21,4,60
81,1997-09-21,5,54
81,1997-09-21,6,23
82,1997-09-28,1,51
82,1997-09-28,2,36
82,1997-09-28,3,53
82,1997-09-28,4,29
82,1997-09-28,5,18
82,1997-09-28,6,15
83,1997-10-05,1,24
83,1997-10-05,2,16
83,1997-10-05,3,4
83,1997-10-05,4,42
83,1997-10-05,5,57
83,1997-10-05,6,15
84,1997-10-12,1,10
84,1997-10-12,2,34
84,1997-10-12,3,4
84,1997-10-12,4,6
84,1997-10-12,5,25
84,1997-10-12,6,40
85,1997-10-19,1,47
85,1997-10-19,2,15
85,1997-10-19,3,30
85,1997-10-19,4,37
85,1997-10-19,5,45
85,1997-10-19,6,6
86,1997-10-26,1,54
86,1997-10-26,2,21
86,1997-10-26,3,6
86,1997-10-26,4,34
86,1997-10-26,5,36
86,1997-10-26,6,22
87,1997-11-02,1,40
87,1997-11-02,2,4
87,1997-11-02,3,28
87,1997-11-02,4,32
87,1997-11-02,5,11
87,1997-11-02,6,5
88,1997-11-09,1,45
88,1997-11-09,2,37
88,1997-11-09,3,29
88,1997-11-09,4,4
88,1997-11-09,5,43
88,1997-11-09,6,18
89,1997-11-16,1,59
89,1997-11-16,2,42
89,1997-11-16,3,34
89,1997-11-16,4,13
89,1997-11-16,5,44
89,1997-11-16,6,55
90,1997-11-23,1,21
90,1997-11-23,2,26
90,1997-11-23,3,40
90,1997-11-23,4,54
90,1997-11-23,5,9
90,1997-11-23,6,52
91,1997-11-30,1,60
91,1997-11-30,2,4
91,1997-11-30,3,10
91,1997-11-30,4,35
91,1997-11-30,5,39
91,1997-11-30,6,2
92,1997-12-07,1,5
92,1997-12-07,2,23
92,1997-12-07,3,51
92,1997-12-07,4,3
92,1997-12-07,5,1
92,1997-12-07,6,24
93,1997-12-14,1,22
93,1997-12-14,2,53
93,1997-12-14,3,31
93,1997-12-14,4,28
93,1997-12-14,5,2
93,1997-12-14,6,36
94,1997-12-21,1,28
94,1997-12-21,2,51
94,1997-12-21,3,55
94,1997-12-21,4,18
94,1997-12-21,5,52
94,1997-12-21,6,8
95,1997-12-28,1,46
95,1997-12-28,2,60
95,1997-12-28,3,6
95,1997-12-28,4,40
95,1997-12-28,5,50
95,1997-12-28,6,45
96,1998-01-04,1,4
96,1998-01-04,2,42
96,1998-01-04,3,58
96,1998-01-04,4,26
96,1998-01-04,5,7
96,1998-01-04,6,40
97,1998-01-11,1,56
97,1998-01-11,2,53
97,1998-01-11,3,11
